aah, aahed, aahed, aahing
abacinate, abacinated, abacinated, abacinating
abandon, abandoned, abandoned, abandoning
abase, abased, abased, abasing
abash, abashed, abashed, abashing
abate, abated, abated, abating
abbreviate, abbreviated, abbreviated, abbreviating
abdicate, abdicated, abdicated, abdicating
abduce, abduced, abduced, abducing
abduct, abducted, abducted, abducting
aberrate, aberrated, aberrated, aberrating
abet, abeted, abeted, abeting
abhor, abhored, abhored, abhoring
abide, abided, abided, abiding
abjure, abjured, abjured, abjuring
ablactate, ablactated, ablactated, ablactating
ablate, ablated, ablated, ablating
abnegate, abnegated, abnegated, abnegating
abolish, abolished, abolished, abolishing
abominate, abominated, abominated, abominating
abort, aborted, aborted, aborting
abound, abounded, abounded, abounding
about-face, about-faced, about-faced, about-facing
abrade, abraded, abraded, abrading
abrase, abrased, abrased, abrasing
abreact, abreacted, abreacted, abreacting
abridge, abridged, abridged, abridging
abrogate, abrogated, abrogated, abrogating
abscise, abscised, abscised, abscising
abscond, absconded, absconded, absconding
abseil, abseiled, abseiled, abseiling
absent, absented, absented, absenting
absolve, absolved, absolved, absolving
absorb, absorbed, absorbed, absorbing
absquatulate, absquatulated, absquatulated, absquatulating
abstain, abstained, abstained, abstaining
abstract, abstracted, abstracted, abstracting
abuse, abused, abused, abusing
abut, abuted, abuted, abuting
aby, abied, abied, abying
abye, abyed, abyed, abying
accede, acceded, acceded, acceding
accelerate, accelerated, accelerated, accelerating
accent, accented, accented, accenting
accentuate, accentuated, accentuated, accentuating
accept, accepted, accepted, accepting
access, accessed, accessed, accessing
accession, accessioned, accessioned, accessioning
acclaim, acclaimed, acclaimed, acclaiming
acclimate, acclimated, acclimated, acclimating
acclimatise, acclimatised, acclimatised, acclimatising
acclimatize, acclimatized, acclimatized, acclimatizing
accommodate, accommodated, accommodated, accommodating
accompany, accompanied, accompanied, accompanying
accomplish, accomplished, accomplished, accomplishing
accord, accorded, accorded, according
accost, accosted, accosted, accosting
account, accounted, accounted, accounting
accouter, accoutered, accoutered, accoutering
accoutre, accoutred, accoutred, accoutring
accredit, accredited, accredited, accrediting
accrete, accreted, accreted, accreting
accrue, accrued, accrued, accruing
acculturate, acculturated, acculturated, acculturating
accumulate, accumulated, accumulated, accumulating
accurse, accursed, accursed, accursing
accuse, accused, accused, accusing
accustom, accustomed, accustomed, accustoming
ace, aced, aced, acing
acerbate, acerbated, acerbated, acerbating
acetify, acetified, acetified, acetifying
acetylate, acetylated, acetylated, acetylating
acetylise, acetylised, acetylised, acetylising
acetylize, acetylized, acetylized, acetylizing
ache, ached, ached, aching
achieve, achieved, achieved, achieving
achromatise, achromatised, achromatised, achromatising
achromatize, achromatized, achromatized, achromatizing
acid-wash, acid-washed, acid-washed, acid-washing
acidify, acidified, acidified, acidifying
acidulate, acidulated, acidulated, acidulating
acknowledge, acknowledged, acknowledged, acknowledging
acquaint, acquainted, acquainted, acquainting
acquiesce, acquiesced, acquiesced, acquiescing
acquire, acquired, acquired, acquiring
acquit, acquited, acquited, acquiting
act, acted, acted, acting
action, actioned, actioned, actioning
activate, activated, activated, activating
actualise, actualised, actualised, actualising
actualize, actualized, actualized, actualizing
actuate, actuated, actuated, actuating
acuminate, acuminated, acuminated, acuminating
ad-lib, ad-libed, ad-libed, ad-libing
adapt, adapted, adapted, adapting
add, added, added, adding
addict, addicted, addicted, addicting
addle, addled, addled, addling
address, addressed, addressed, addressing
adduce, adduced, adduced, adducing
adduct, adducted, adducted, adducting
adhere, adhered, adhered, adhering
adjoin, adjoined, adjoined, adjoining
adjourn, adjourned, adjourned, adjourning
adjudge, adjudged, adjudged, adjudging
adjudicate, adjudicated, adjudicated, adjudicating
